t,x1,y1,x2,y2,x3,y3
3.50,0.07044739072472175345,0.72383577835605605877,0.59521220129675622701,-0.41957857787423213924,-0.65741638141707225973,-0.30230480700620876444
3.55,0.10188742560750188582,0.71955647625985974525,0.57455963444659685635,-0.44629305810533909105,-0.67195371649828627980,-0.27149044191506077617
3.60,0.13875739668339326371,0.71272131422437234871,0.54805352038825083660,-0.47617996487719865817,-0.67930127989654609522,-0.23337190183781469921
3.65,0.17802385006364437880,0.69770387123613775149,0.51873072430042288516,-0.50394867876801252571,-0.69192687006122877147,-0.20340762735682305085
3.70,0.21171086559224980284,0.68233289985496614616,0.49019601615737812272,-0.52836886210273437126,-0.70050692615845122635,-0.16105531754729368599
3.75,0.24422262596869079299,0.67248906136669639455,0.45683069701245526684,-0.54968185624362830843,-0.69980396848857506775,-0.12711897905821509247
3.80,0.27746487658931556775,0.65484229523429049458,0.42811772830074917850,-0.56795827946243526707,-0.70974361787136230895,-0.08079434779512953413
3.85,0.30999328573334045123,0.62957853729343005167,0.39253994081980625452,-0.58548871024900994708,-0.69891040232752588146,-0.04529425425032020114
3.90,0.34619573932748859413,0.60836487617708856490,0.35472605712428706415,-0.60328361508974059912,-0.70204792116494940668,-0.00688689654591744665
3.95,0.37100654978268055029,0.57868674395033070645,0.31739192502008067853,-0.61036567093932192485,-0.68814827717342708091,0.03125732372440655216
4.00,0.40148410092552239137,0.55045212854583469575,0.28169202825298200743,-0.62865075290119087903,-0.67645725363660569318,0.06624487179377605561
4.05,0.43063811227240156310,0.51974208485560957627,0.23925647356235207885,-0.63204956884374297044,-0.67009117564512010734,0.10952371243844311044
4.10,0.45396732032429404358,0.48637899879840201800,0.19305993248765213055,-0.63188358380049636231,-0.64942354682152803047,0.14976606154036911644
4.15,0.47232781376137622509,0.44975767338411881680,0.15259209180732893896,-0.63891874382387303655,-0.62975417181025228341,0.18416018423707652962
4.20,0.48924466137344280181,0.41149788204107218270,0.11346287342154770528,-0.63433300215046617421,-0.60800568688108758142,0.22033119123886688029
4.25,0.51399955468584068718,0.37023886612250100914,0.06661867447073165083,-0.62855032623003348480,-0.57726201752796291178,0.25987730962873184515
4.30,0.52724194025085768800,0.32699250025017623233,0.02608383067030830074,-0.62005000338718196939,-0.54744638241578147397,0.29107417960553222391
